,ID,permalink,username,text,date,formatted_date,retweets,favorites,mentions,hashtags,geo,urls,author_id
0,1212062633546919936,https://twitter.com/Montreal_AI/status/1212062633546919936,,Redefinition of #DeepLearning is a first and necessary step. The #AIDebate is just getting started.,2019-12-31 17:27:05,Tue Dec 31 17:27:05 +0000 2019,3,4,,#DeepLearning #AIDebate,,,919860212
1,1212058809839042560,https://twitter.com/alexandrucz/status/1212058809839042560,,"The #AIDebate has moved from ""Is DL AGI?"" to ""How to redefine DL to make it look closer to AGI?"" This is progress. I agree with @GaryMarcus . There is a long way to true AI. DL is (possibly) an ingredient for it, but we need much more. My humble opinion https:// marvelingatmind.blogspot.com / https:// twitter.com/Montreal_AI/st atus/1211830521484976128 …",2019-12-31 17:11:53,Tue Dec 31 17:11:53 +0000 2019,4,5,@GaryMarcus,#AIDebate,,"https://marvelingatmind.blogspot.com/,https://twitter.com/Montreal_AI/status/1211830521484976128",562399749
2,1212056956774604801,https://twitter.com/Montreal_AI/status/1212056956774604801,,Text transcript of the #AIDebate is coming in a few days,2019-12-31 17:04:32,Tue Dec 31 17:04:32 +0000 2019,4,11,,#AIDebate,,,919860212
3,1212019750194286599,https://twitter.com/rcsaxe/status/1212019750194286599,,Does anybody know if there is a text transcript of the #AIDebate ? @Montreal_AI @GaryMarcus,2019-12-31 14:36:41,Tue Dec 31 14:36:41 +0000 2019,2,3,@Montreal_AI @GaryMarcus,#AIDebate,,,843679027613356032
4,1212010734009430017,https://twitter.com/Montreal_AI/status/1212010734009430017,,"AI DEBATE : Yoshua Bengio | Gary Marcus ""The Best Way Forward for AI"" High Quality Recording: https:// youtu.be/EeqwFjqFvJA By @Montreal_AI | Host: @MILAMontreal #AIDebate pic.twitter.com/vHjWecWf4S",2019-12-31 14:00:51,Tue Dec 31 14:00:51 +0000 2019,5,11,@Montreal_AI @MILAMontreal,#AIDebate,,https://youtu.be/EeqwFjqFvJA,919860212
5,1212004043469524992,https://twitter.com/Montreal_AI/status/1212004043469524992,,Which matter is of greatest importance to you? #AIDebate #AIPanel,2019-12-31 13:34:16,Tue Dec 31 13:34:16 +0000 2019,3,6,,#AIDebate #AIPanel,,,919860212
6,1211963908598173696,https://twitter.com/martin_dinov/status/1211963908598173696,,"largely the same as back then. The specifics are very different (no BackProp, GPUs, or batch norm or any of the other tools since), but it looks to me like the #AIdebate is a debate about something we'd figured out back then already - namely, why waste valuable priors? (7/n)",2019-12-31 10:54:47,Tue Dec 31 10:54:47 +0000 2019,0,2,,#AIdebate,,,798276152
7,1211955967082057728,https://twitter.com/AngeloDalli/status/1211955967082057728,,Balanced discussion between @ylecun & @yudapearl that makes sense. Hope that in 2020 ppl will help find the strengths and limits of different tools available and combine them in a superior way for future AI. #AIDebate @GaryMarcus @Montreal_AI @Quebec_AI https:// twitter.com/ylecun/status/ 1211701332031213568 …,2019-12-31 10:23:14,Tue Dec 31 10:23:14 +0000 2019,3,5,@ylecun @yudapearl @GaryMarcus @Montreal_AI @Quebec_AI,#AIDebate,,https://twitter.com/ylecun/status/1211701332031213568,22894187
8,1211940709315620865,https://twitter.com/pfau/status/1211940709315620865,,"What these Copernicans blathering on about ""data-efficient models of planetary motion"" don't understand is that the earlier problems with Ptolemaic models have been completely solved by adding more layers - er, I mean - epicycles. #AIDebate https:// twitter.com/Zergylord/stat us/1211493810020196353 …",2019-12-31 09:22:36,Tue Dec 31 09:22:36 +0000 2019,1,41,,#AIDebate,,https://twitter.com/Zergylord/status/1211493810020196353,14450509
9,1211878962508353536,https://twitter.com/JohnLocker4/status/1211878962508353536,,Time to hold those bastards that held lumps of coal in parliament to account #AIDebate https:// twitter.com/beneltham/stat us/1211841240343298049 …,2019-12-31 05:17:14,Tue Dec 31 05:17:14 +0000 2019,1,5,,#AIDebate,,https://twitter.com/beneltham/status/1211841240343298049,1306197774
