,Unnamed: 0,ID,permalink,username,text,date,formatted_date,retweets,favorites,mentions,hashtags,geo,urls,author_id,Anger,Disgust,Fear,Joy,Sadness,Surprise,is_english,polarity_of_tweet,has_yoshua,has_gary
0,0,1212062633546919936,https://twitter.com/Montreal_AI/status/1212062633546919936,,Redefinition of #DeepLearning is a first and necessary step. The #AIDebate is just getting started.,2019-12-31 17:27:05,Tue Dec 31 17:27:05 +0000 2019,3,4,,#DeepLearning #AIDebate,,,919860212,0.014381642453372478,0.000881631625816226,0.01614907942712307,0.8348004817962646,0.046670280396938324,0.08711688220500946,True,0.125,False,False
1,1,1212058809839042560,https://twitter.com/alexandrucz/status/1212058809839042560,,"The #AIDebate has moved from ""Is DL AGI?"" to ""How to redefine DL to make it look closer to AGI?"" This is progress. I agree with @GaryMarcus . There is a long way to true AI. DL is (possibly) an ingredient for it, but we need much more. My humble opinion https:// marvelingatmind.blogspot.com / https:// twitter.com/Montreal_AI/st atus/1211830521484976128 …",2019-12-31 17:11:53,Tue Dec 31 17:11:53 +0000 2019,4,5,@GaryMarcus,#AIDebate,,"https://marvelingatmind.blogspot.com/,https://twitter.com/Montreal_AI/status/1211830521484976128",562399749,0.011698916554450989,0.0033406647853553295,0.03400057554244995,0.899307906627655,0.025157403200864792,0.02649454027414322,True,0.024999999999999994,False,True
2,2,1212056956774604801,https://twitter.com/Montreal_AI/status/1212056956774604801,,Text transcript of the #AIDebate is coming in a few days,2019-12-31 17:04:32,Tue Dec 31 17:04:32 +0000 2019,4,11,,#AIDebate,,,919860212,0.00031587324338033795,0.00028552982257679105,0.01572602242231369,0.03939210623502731,0.006888878997415304,0.9373915791511536,True,0.0,False,False
3,3,1212019750194286599,https://twitter.com/rcsaxe/status/1212019750194286599,,Does anybody know if there is a text transcript of the #AIDebate ? @Montreal_AI @GaryMarcus,2019-12-31 14:36:41,Tue Dec 31 14:36:41 +0000 2019,2,3,@Montreal_AI @GaryMarcus,#AIDebate,,,843679027613356032,0.0017539069522172213,0.0011606490006670356,0.036511149257421494,0.018023749813437462,0.7777796387672424,0.1647709161043167,True,0.0,False,True
4,4,1212010734009430017,https://twitter.com/Montreal_AI/status/1212010734009430017,,"AI DEBATE : Yoshua Bengio | Gary Marcus ""The Best Way Forward for AI"" High Quality Recording: https:// youtu.be/EeqwFjqFvJA By @Montreal_AI | Host: @MILAMontreal #AIDebate pic.twitter.com/vHjWecWf4S",2019-12-31 14:00:51,Tue Dec 31 14:00:51 +0000 2019,5,11,@Montreal_AI @MILAMontreal,#AIDebate,,https://youtu.be/EeqwFjqFvJA,919860212,0.022708632051944733,0.005999573040753603,0.556633710861206,0.4045456647872925,0.007807922549545765,0.0023044853005558252,True,0.58,True,True
5,5,1212004043469524992,https://twitter.com/Montreal_AI/status/1212004043469524992,,Which matter is of greatest importance to you? #AIDebate #AIPanel,2019-12-31 13:34:16,Tue Dec 31 13:34:16 +0000 2019,4,7,,#AIDebate #AIPanel,,,919860212,0.08876451104879379,0.03168546408414841,0.31834909319877625,0.34236451983451843,0.10281119495630264,0.11602523922920227,True,1.0,False,False
6,6,1211963908598173696,https://twitter.com/martin_dinov/status/1211963908598173696,,"largely the same as back then. The specifics are very different (no BackProp, GPUs, or batch norm or any of the other tools since), but it looks to me like the #AIdebate is a debate about something we'd figured out back then already - namely, why waste valuable priors? (7/n)",2019-12-31 10:54:47,Tue Dec 31 10:54:47 +0000 2019,0,2,,#AIdebate,,,798276152,0.22195428609848022,0.004254679661244154,0.19035610556602478,0.3988943099975586,0.1277453601360321,0.05679526552557945,True,-0.05,False,False
7,7,1211955967082057728,https://twitter.com/AngeloDalli/status/1211955967082057728,,Balanced discussion between @ylecun & @yudapearl that makes sense. Hope that in 2020 ppl will help find the strengths and limits of different tools available and combine them in a superior way for future AI. #AIDebate @GaryMarcus @Montreal_AI @Quebec_AI https:// twitter.com/ylecun/status/ 1211701332031213568 …,2019-12-31 10:23:14,Tue Dec 31 10:23:14 +0000 2019,3,5,@ylecun @yudapearl @GaryMarcus @Montreal_AI @Quebec_AI,#AIDebate,,https://twitter.com/ylecun/status/1211701332031213568,22894187,0.007312824949622154,0.03321175277233124,0.09543547034263611,0.4134628176689148,0.0034797601401805878,0.4470973610877991,True,0.275,False,True
8,8,1211940709315620865,https://twitter.com/pfau/status/1211940709315620865,,"What these Copernicans blathering on about ""data-efficient models of planetary motion"" don't understand is that the earlier problems with Ptolemaic models have been completely solved by adding more layers - er, I mean - epicycles. #AIDebate https:// twitter.com/Zergylord/stat us/1211493810020196353 …",2019-12-31 09:22:36,Tue Dec 31 09:22:36 +0000 2019,1,41,,#AIDebate,,https://twitter.com/Zergylord/status/1211493810020196353,14450509,0.005347579717636108,0.002609975403174758,0.07224846631288528,0.869191586971283,0.003655137727037072,0.04694726690649986,True,-0.07083333333333333,False,False
9,9,1211851693207371776,https://twitter.com/amahabal/status/1211851693207371776,,#AIDebate https:// medium.com/@amahabal/half way-between-marcus-and-bengio-d5ed5f88c2b9?sk=9359b6d99d71714c3d29458abfe2b146 …,2019-12-31 03:28:53,Tue Dec 31 03:28:53 +0000 2019,1,1,@amahabal,#AIDebate,,https://medium.com/@amahabal/halfway-between-marcus-and-bengio-d5ed5f88c2b9?sk=9359b6d99d71714c3d29458abfe2b146,19096121,0.006646943278610706,0.00075092155020684,0.037001315504312515,0.9002062678337097,0.006817519664764404,0.04857705160975456,True,0.0,False,False
